name,phoneNumber,email,address,userAgent,hexcolor
"Hallie Stokes","+1 (623) 740-1877",mgusikowski@hotmail.com,"2854 Schmidt Underpass Apt. 091
Giannifurt, ID 52808-5861","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5310 (KHTML, like Gecko) Chrome/40.0.894.0 Mobile Safari/5310",#d80602
"Lavina Schiller",+1.724.856.0810,towne.cory@eichmann.com,"408 Hauck Harbor Apt. 657
West Bonnieport, NC 50856-3304","Opera/9.51 (X11; Linux i686; en-US) Presto/2.8.250 Version/10.00",#5ac53c
"Adelle Green",+17963277920,tomas.jacobi@mosciski.com,"6864 Fritsch Crossing Suite 384
Lake Jacklyn, MN 42622-4364","Mozilla/5.0 (X11; Linux x86_64; rv:5.0) Gecko/20171017 Firefox/35.0",#97935f
"Jed Koch",287.247.3348,aron.batz@hotmail.com,"16864 Gutmann Highway
West Elissa, CO 75056","Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/5.0)",#7eb716
"Danyka Smith",+1-846-757-9273,lola49@yahoo.com,"4241 Skiles Points
Lake Bettyton, ME 23191","Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 4.0; Trident/4.1)",#9a6212
"Ignatius Schinner I",901.377.9674,zelda88@yahoo.com,"97769 Von Roads
West Avis, CO 21293-8743","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/5312 (KHTML, like Gecko) Chrome/39.0.833.0 Mobile Safari/5312",#712e71
"Elmo Wiza",+1-485-578-3985,brielle25@gmail.com,"3890 Kling Fork
Lake Marielaview, DC 22856-1687","Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.2; Trident/3.1)",#b1fe65
"Jaylen Ziemann",+13296673872,murray.catherine@shanahan.info,"21480 Gia Mall Apt. 230
Delphialand, VT 10405-1840","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/4.1)",#bc3675
"Braxton Hand",+16465750536,nienow.rebeca@wuckert.info,"75863 Berta Curve Apt. 844
West Murray, FL 74772","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_4 rv:2.0; en-US) AppleWebKit/534.41.1 (KHTML, like Gecko) Version/5.0.1 Safari/534.41.1",#d329dd
"Mr. Horacio Turner",717-768-4555,ydubuque@muller.com,"894 Osinski Turnpike
East Georgette, NC 19059-6401","Mozilla/5.0 (Windows CE) AppleWebKit/5342 (KHTML, like Gecko) Chrome/37.0.821.0 Mobile Safari/5342",#1e86d3
"Dr. Cary Dibbert V","(372) 842-1655",darren.greenfelder@dibbert.net,"747 Eldora Rapid Apt. 564
West Saul, ME 98373-4796","Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/534.1.1 (KHTML, like Gecko) Version/4.0.1 Safari/534.1.1",#f80ff4
