name,phoneNumber,email,address,userAgent,hexcolor
"Addie Emmerich","(891) 212-0174",estrosin@yahoo.com,"10557 Flatley Ridges
Adelafort, OH 15455-0711","Mozilla/5.0 (X11; Linux i686) AppleWebKit/5340 (KHTML, like Gecko) Chrome/39.0.898.0 Mobile Safari/5340",#67d9cd
"Lily Hackett","(370) 815-4440",upton.dell@gmail.com,"8682 Nicolas Row
North Moisesport, LA 05378-8972","Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 5.01; Trident/5.0)",#8a8e78
"Dr. Jamarcus Lind PhD",743-493-1929,mohammad14@waelchi.info,"704 Lazaro Via Apt. 899
North Priceshire, NC 54617-8015","Opera/9.10 (Windows NT 5.01; sl-SI) Presto/2.9.217 Version/11.00",#e404c2
"Emil Hansen",+1.356.379.0557,gpfannerstill@hotmail.com,"910 Cynthia Stravenue Apt. 668
New Giovannahaven, NV 93002-7212","Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/4.0)",#cda780
"Katharina Powlowski",395-749-6829,alanna47@yahoo.com,"51779 Virginie Lodge
Kacihaven, VA 19115-7531","Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/5.0)",#f317ef
"Jeanette Lockman",+1.757.499.0898,gorczany.osvaldo@yahoo.com,"92896 Xander Locks
East Ismaelland, ME 44396-1586","Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_4) AppleWebKit/5331 (KHTML, like Gecko) Chrome/40.0.852.0 Mobile Safari/5331",#a3dd40
"Neha Glover",+1-994-335-0669,georgette.hahn@gmail.com,"867 Moore Point Suite 808
Lake Ewellland, GA 48448-7174","Opera/8.77 (Windows NT 6.0; sl-SI) Presto/2.12.247 Version/11.00",#90fc07
"Bonnie Price",+12396150415,mcdermott.kelley@hotmail.com,"4452 Fisher Ferry Suite 955
Farrellborough, IL 31799-8148","Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_1 like Mac OS X; en-US) AppleWebKit/535.45.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6535.45.3",#50c389
"Mr. Quincy Yundt",374.341.1641,jkuhic@yahoo.com,"25750 Hettie Points
North Rigobertoland, WI 74381-7951","Mozilla/5.0 (X11; Linux i686) AppleWebKit/5311 (KHTML, like Gecko) Chrome/39.0.843.0 Mobile Safari/5311",#19f727
"Stevie Hessel DDS",+1-795-755-9042,olakin@yahoo.com,"55990 Ledner Lights Apt. 218
East Andreville, MI 29990-5164","Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_0 rv:2.0; en-US) AppleWebKit/535.47.2 (KHTML, like Gecko) Version/4.0 Safari/535.47.2",#c91f78
"Halle Grady","(520) 688-5533",simonis.shaina@hotmail.com,"585 Mueller Rapid
Lake Dashawn, NM 27710","Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/3.1)",#6ac50a
